Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
31,Andre Barrett,PG,25,LAC,4,0,25,2.9,7.2,.400,1.4,4.3,.333,1.4,2.9,.500,1.4,2.9,.500,0.0,1.4,1.4,10.1,0.0,0.0,1.4,1.4,8.6
32,Earl Barron,C,26,MIA,46,15,889,5.3,13.2,.404,0.0,0.5,.077,5.3,12.7,.417,2.5,3.5,.701,2.7,5.3,8.0,1.2,0.8,0.3,1.9,4.6,13.2
33,Brent Barry,SF,36,SAS,31,1,554,5.0,10.4,.481,3.1,7.3,.429,1.9,3.1,.604,1.2,1.3,.950,0.8,2.8,3.6,3.5,1.1,0.2,1.2,2.8,14.4
34,Brandon Bass,C,22,DAL,79,1,1557,5.7,11.4,.499,0.0,0.1,.000,5.7,11.3,.503,3.7,4.6,.822,2.8,5.2,8.0,1.3,0.5,1.1,1.9,3.5,15.1
35,Maceo Baston,PF,32,TOR,15,2,103,5.9,8.7,.680,0.0,0.0,,5.9,8.7,.680,2.4,3.5,.700,3.1,5.9,9.1,1.0,0.7,1.4,1.4,7.0,14.3
36,Shane Battier,SF,29,HOU,80,78,2907,3.3,7.7,.428,1.7,4.6,.377,1.6,3.1,.504,0.9,1.3,.743,1.6,3.4,5.0,1.9,1.0,1.1,1.0,2.4,9.2
37,Marco Belinelli,SG,21,GSW,33,0,241,5.4,13.9,.387,2.4,6.1,.390,3.0,7.8,.385,1.0,1.3,.778,0.4,1.6,2.1,2.2,0.7,0.0,1.8,2.2,14.2
38,Charlie Bell,SG,28,MIL,68,5,1628,4.1,10.7,.381,1.6,4.8,.341,2.5,5.9,.413,1.5,1.9,.805,0.7,3.0,3.7,4.6,1.1,0.0,1.7,2.7,11.4
39,Raja Bell,SG,31,PHO,75,75,2646,4.3,10.2,.421,2.4,6.0,.401,1.9,4.3,.449,1.1,1.2,.868,0.6,3.1,3.7,2.3,0.7,0.4,0.9,3.0,12.1
40,Mike Bibby,PG,29,TOT,48,44,1573,5.7,13.8,.411,2.1,5.7,.375,3.5,8.1,.437,1.8,2.3,.780,0.4,3.3,3.7,6.6,1.2,0.1,2.7,2.2,15.3
40,Mike Bibby,PG,29,SAC,15,12,473,5.9,14.6,.406,1.8,4.6,.393,4.1,10.0,.412,1.8,2.4,.742,0.8,3.4,4.3,5.7,1.4,0.2,2.9,2.6,15.5
40,Mike Bibby,PG,29,ATL,33,32,1100,5.6,13.5,.414,2.3,6.1,.369,3.3,7.3,.451,1.8,2.3,.797,0.2,3.2,3.4,7.0,1.1,0.1,2.7,2.1,15.2
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Andris Biedriņš,C,21,GSW,76,59,2078,5.9,9.4,.626,0.0,0.0,,5.9,9.4,.626,2.0,3.2,.620,4.4,8.5,12.9,1.3,1.0,1.6,1.5,4.5,13.8
42,Chauncey Billups*,PG,31,DET,78,78,2522,5.6,12.5,.448,2.0,4.9,.401,3.7,7.6,.479,5.7,6.2,.918,0.6,2.4,3.0,7.6,1.4,0.2,2.3,1.9,18.9
43,Steve Blake,PG,27,POR,81,78,2424,3.9,9.5,.408,1.8,4.4,.406,2.1,5.1,.409,0.7,1.0,.766,0.5,2.4,2.9,6.1,0.8,0.1,1.7,2.0,10.3
44,Andray Blatche,PF,21,WAS,82,15,1675,5.5,11.5,.474,0.1,0.3,.231,5.4,11.2,.480,2.3,3.3,.695,3.5,5.6,9.1,2.0,1.1,2.5,2.4,5.5,13.3
45,Mark Blount,C,32,MIA,69,46,1542,5.6,12.0,.462,0.4,1.0,.386,5.2,11.0,.469,2.1,3.2,.638,1.6,4.5,6.1,1.0,0.8,0.8,1.6,3.1,13.6
46,Keith Bogans,SG,27,ORL,82,35,2198,3.9,9.6,.410,2.4,6.7,.362,1.5,2.9,.520,1.3,1.8,.736,0.7,3.7,4.4,1.7,1.0,0.2,0.9,2.7,11.6
47,Andrew Bogut,C,23,MIL,78,78,2720,6.2,12.0,.511,0.0,0.1,.000,6.2,12.0,.515,2.5,4.3,.587,3.2,6.9,10.1,2.6,0.8,1.8,2.3,3.4,14.8
48,Matt Bonner,PF,27,SAS,68,3,853,5.1,12.3,.416,1.9,5.8,.336,3.2,6.5,.487,1.6,1.9,.864,2.2,5.9,8.1,1.4,0.6,0.7,1.6,4.7,13.8
49,Josh Boone,PF,23,NJN,70,53,1773,4.8,8.8,.548,0.0,0.0,,4.8,8.8,.548,2.0,4.4,.456,3.9,6.4,10.3,1.1,0.7,1.2,1.4,3.1,11.7
50,Calvin Booth,C,31,PHI,31,0,204,1.6,4.8,.333,0.0,0.0,,1.6,4.8,.333,1.1,1.8,.600,1.1,5.6,6.7,1.4,1.1,3.2,0.7,6.2,4.2
51,Carlos Boozer,PF,26,UTA,81,81,2827,9.0,16.5,.547,0.0,0.0,.000,9.0,16.5,.547,3.7,5.0,.738,2.5,8.2,10.7,3.0,1.3,0.5,2.7,3.7,21.8
52,Chris Bosh*,C,23,TOR,67,67,2425,7.5,15.2,.494,0.1,0.4,.400,7.4,14.9,.496,7.0,8.3,.844,2.6,6.1,8.7,2.5,0.9,1.0,2.3,2.3,22.2
53,Bruce Bowen,SF,36,SAS,81,81,2448,2.6,6.3,.407,1.3,3.2,.419,1.2,3.1,.394,0.7,1.0,.652,0.5,3.0,3.4,1.3,0.8,0.3,0.7,2.6,7.1
54,Ryan Bowen,SF,32,NOH,53,4,660,2.7,5.5,.490,0.0,0.1,.000,2.7,5.4,.495,0.9,1.6,.552,3.0,2.5,5.5,1.4,1.7,0.6,0.8,4.2,6.2
55,Earl Boykins,PG,31,CHA,36,0,577,3.8,10.7,.355,0.9,2.7,.318,2.9,8.0,.367,3.1,3.7,.831,0.6,1.6,2.1,6.0,0.8,0.0,2.6,1.3,11.5
56,Elton Brand,PF,28,LAC,8,6,274,6.8,15.0,.456,0.0,0.0,,6.8,15.0,.456,4.9,6.2,.787,2.8,5.6,8.4,2.1,0.4,2.0,2.2,2.8,18.5
57,Corey Brewer,SF,21,MIN,79,35,1803,3.6,9.7,.374,0.1,0.7,.194,3.5,9.0,.389,1.8,2.2,.800,1.6,4.2,5.8,2.2,1.5,0.5,1.8,3.8,9.2
58,Ronnie Brewer,SG,22,UTA,76,76,2088,6.1,10.9,.558,0.2,0.9,.220,5.9,10.1,.587,3.4,4.4,.759,1.7,2.1,3.8,2.3,2.2,0.3,1.2,1.9,15.8
59,Primož Brezec,C,28,TOT,50,18,475,3.3,7.1,.468,0.0,0.0,,3.3,7.1,.468,1.8,3.0,.600,2.3,3.9,6.1,0.8,0.2,0.5,1.8,6.3,8.5
59,Primož Brezec,C,28,CHA,20,18,267,2.3,5.8,.395,0.0,0.0,,2.3,5.8,.395,0.4,0.7,.600,1.9,4.0,5.9,0.8,0.0,0.4,2.0,4.7,5.0
59,Primož Brezec,C,28,DET,17,0,98,3.7,4.8,.769,0.0,0.0,,3.7,4.8,.769,2.6,5.1,.500,2.6,4.4,7.0,1.5,0.7,0.7,1.8,8.4,9.9
59,Primož Brezec,C,28,TOR,13,0,110,5.6,12.4,.447,0.0,0.0,,5.6,12.4,.447,4.6,6.9,.667,2.9,2.9,5.9,0.3,0.3,0.7,1.3,8.2,15.7
60,Aaron Brooks,PG,23,HOU,51,0,608,5.5,13.3,.413,2.1,6.5,.330,3.4,6.9,.491,2.5,2.9,.857,0.8,2.5,3.3,5.2,0.8,0.3,2.6,4.1,15.6
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Andre Brown,PF,26,MEM,33,1,286,4.9,9.8,.500,0.0,0.0,,4.9,9.8,.500,2.8,6.2,.449,4.7,6.9,11.6,1.0,0.9,0.5,1.8,4.8,12.6
62,Devin Brown,SG,29,CLE,78,20,1762,4.4,10.8,.409,0.9,3.0,.308,3.5,7.9,.447,2.2,2.9,.754,1.3,4.0,5.4,3.6,1.1,0.1,2.0,2.9,12.0
63,Kwame Brown,C,25,TOT,38,15,713,3.6,7.2,.507,0.0,0.0,,3.6,7.2,.507,2.0,4.9,.408,2.6,6.9,9.5,2.3,1.1,1.2,2.6,4.1,9.3
63,Kwame Brown,C,25,LAL,23,14,509,3.7,7.3,.515,0.0,0.0,,3.7,7.3,.515,1.8,4.5,.406,2.2,7.1,9.3,2.0,1.1,1.3,2.6,4.1,9.3
63,Kwame Brown,C,25,MEM,15,1,204,3.4,6.9,.487,0.0,0.0,,3.4,6.9,.487,2.5,6.0,.412,3.5,6.5,10.1,3.0,1.1,0.7,2.5,4.2,9.2
64,P.J. Brown,PF,38,BOS,18,0,209,2.4,7.1,.341,0.0,0.2,.000,2.4,6.9,.350,1.9,2.8,.688,5.0,6.7,11.7,1.7,0.9,1.4,1.7,5.0,6.7
65,Shannon Brown,SG,22,TOT,21,4,240,6.6,18.9,.349,1.4,4.5,.300,5.2,14.4,.365,2.5,4.3,.586,0.9,2.1,3.0,2.5,1.6,0.5,3.6,4.3,17.1
65,Shannon Brown,SG,22,CLE,15,4,218,6.8,18.3,.369,1.5,4.8,.310,5.3,13.5,.390,2.3,3.8,.609,0.8,2.1,3.0,2.8,1.7,0.2,3.1,4.5,17.3
65,Shannon Brown,SG,22,CHI,6,0,22,4.9,24.5,.200,0.0,1.6,.000,4.9,22.9,.214,4.9,9.8,.500,1.6,1.6,3.3,0.0,1.6,3.3,8.2,3.3,14.7
66,Kobe Bryant*,SG,29,LAL,82,82,3192,8.7,19.1,.459,1.7,4.7,.361,7.0,14.4,.490,7.0,8.4,.840,1.1,4.8,5.8,5.0,1.7,0.5,2.9,2.6,26.2
67,Greg Buckner,SG,31,MIN,31,4,520,3.1,8.1,.385,1.0,3.5,.300,2.1,4.6,.448,1.3,1.5,.864,0.7,3.8,4.5,2.7,1.5,0.1,2.0,4.4,8.6
68,Caron Butler,SF,27,WAS,58,58,2314,6.8,14.7,.466,1.0,2.9,.357,5.8,11.8,.492,3.7,4.1,.901,1.4,4.6,6.0,4.4,2.0,0.3,2.3,2.5,18.4
69,Rasual Butler,SF,28,NOH,51,8,875,3.7,10.7,.350,1.8,5.5,.331,1.9,5.2,.370,1.1,1.3,.839,0.7,3.5,4.1,1.5,0.6,0.9,0.4,2.7,10.4
70,Andrew Bynum,C,20,LAL,35,25,1008,6.8,10.6,.636,0.0,0.0,,6.8,10.6,.636,2.9,4.2,.695,3.7,9.0,12.7,2.2,0.4,2.6,1.9,3.5,16.4
71,José Calderón,PG,26,TOR,82,56,2484,5.3,10.2,.519,1.1,2.7,.429,4.2,7.6,.551,1.6,1.7,.908,0.5,2.9,3.4,9.8,1.3,0.1,1.8,1.9,13.4
72,Marcus Camby,C,33,DEN,79,79,2758,3.7,8.3,.450,0.1,0.3,.300,3.7,8.0,.455,1.9,2.6,.708,3.0,10.5,13.5,3.4,1.1,3.7,1.5,2.8,9.4
73,Brian Cardinal,PF,30,MEM,37,1,440,3.5,10.3,.341,2.0,6.6,.309,1.5,3.7,.400,1.1,1.6,.684,2.1,5.7,7.9,1.8,0.8,0.2,1.9,5.1,10.1
74,Rodney Carney,SF,23,PHI,70,6,1039,5.5,13.6,.403,1.3,4.2,.317,4.2,9.4,.441,1.9,2.8,.679,1.7,3.4,5.2,1.1,1.4,0.8,1.2,3.3,14.2
75,Matt Carroll,SG,27,CHA,80,18,2016,4.5,10.5,.428,1.9,4.3,.436,2.6,6.2,.422,2.0,2.5,.804,0.6,3.4,4.0,1.3,0.8,0.3,1.0,3.3,12.9
76,Anthony Carter,PG,32,DEN,70,67,1960,4.0,8.7,.458,0.8,2.4,.349,3.2,6.4,.499,1.2,1.6,.753,0.5,3.2,3.7,7.1,2.0,0.5,2.3,3.2,10.0
77,Vince Carter*,SG,31,NJN,76,72,2959,7.1,15.7,.456,1.2,3.3,.359,5.9,12.3,.482,4.3,5.2,.816,1.4,4.1,5.5,4.7,1.1,0.4,2.2,2.9,19.7
78,Sam Cassell,PG,38,TOT,55,34,1274,6.6,15.0,.438,0.6,2.1,.303,5.9,12.9,.461,3.6,4.1,.882,0.5,3.4,3.8,6.0,1.0,0.2,2.7,2.8,17.4
78,Sam Cassell,PG,38,LAC,38,33,975,6.8,14.8,.455,0.5,2.0,.259,6.2,12.8,.486,3.9,4.4,.891,0.4,3.4,3.9,6.6,1.0,0.1,2.9,2.5,17.9
78,Sam Cassell,PG,38,BOS,17,1,299,6.0,15.7,.385,1.1,2.6,.409,4.9,13.0,.380,2.5,3.0,.840,0.6,3.1,3.7,4.2,1.1,0.4,2.3,3.5,15.7
79,Tyson Chandler,C,25,NOH,79,79,2783,4.9,7.8,.623,0.0,0.0,.000,4.9,7.8,.624,2.3,3.8,.593,4.2,7.8,12.0,1.0,0.6,1.1,1.8,3.1,12.0
80,Wilson Chandler,SF,20,NYK,35,16,685,5.6,12.7,.438,0.5,1.6,.300,5.1,11.1,.458,1.8,2.8,.630,2.0,4.7,6.7,1.7,0.8,0.8,1.4,4.4,13.4
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
81,Josh Childress,SF,24,ATL,76,0,2274,5.2,9.1,.571,0.3,0.9,.367,4.8,8.1,.595,3.5,4.4,.807,2.8,3.2,5.9,1.9,1.1,0.7,1.6,2.0,14.2
82,Jarron Collins,C,29,UTA,70,9,702,1.8,4.2,.439,0.0,0.1,.000,1.8,4.2,.444,2.4,3.8,.622,2.1,3.9,5.9,1.9,0.5,0.3,1.1,5.4,6.1
83,Jason Collins,C,29,TOT,74,26,1172,1.6,3.5,.469,0.0,0.0,.000,1.6,3.4,.473,1.0,2.3,.459,2.0,3.5,5.5,0.8,0.7,0.8,1.5,6.0,4.3
83,Jason Collins,C,29,NJN,43,23,684,1.2,2.8,.426,0.0,0.0,,1.2,2.8,.426,0.7,1.9,.389,1.8,2.8,4.7,1.0,0.6,0.4,1.2,5.8,3.2
83,Jason Collins,C,29,MEM,31,3,488,2.2,4.4,.508,0.0,0.1,.000,2.2,4.3,.517,1.5,2.8,.526,2.1,4.4,6.6,0.4,0.9,1.3,1.8,6.2,5.9
84,Mardy Collins,SG,23,NYK,46,8,634,3.2,9.9,.326,0.5,1.8,.250,2.8,8.1,.343,1.3,2.2,.605,1.1,3.2,4.3,5.1,1.4,0.5,3.2,3.2,8.2
85,Nick Collison,PF,27,SEA,78,35,2223,5.2,10.4,.502,0.0,0.0,.000,5.2,10.3,.504,2.0,2.7,.737,4.1,7.7,11.8,1.8,0.8,1.0,1.9,4.0,12.4
86,Mike Conley,PG,20,MEM,53,46,1381,4.9,11.5,.428,0.8,2.4,.330,4.1,9.1,.453,2.3,3.2,.732,0.5,3.1,3.6,5.8,1.1,0.1,2.3,2.2,13.0
87,Brian Cook,PF,27,TOT,51,2,629,5.0,13.4,.376,2.5,6.6,.374,2.6,6.8,.378,1.1,1.2,.905,1.6,4.6,6.2,1.5,0.7,0.7,2.2,5.3,13.6
87,Brian Cook,PF,27,LAL,6,2,70,2.1,10.8,.190,1.0,5.1,.200,1.0,5.7,.182,2.1,2.1,1.000,2.1,3.1,5.1,1.5,1.0,0.0,2.1,3.1,7.2
