Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
77,Jamal Cain,PF,23,MIA,18,240,,14%,48%,38%,,7.3,8.0,2,2,8,2,13,1,32,4,2
78,Kentavious Caldwell-Pope,SG,29,DEN,76,2381,24%,74%,2%,,,9.6,16.3,54,20,70,5,49,45,433,11,9
79,Facundo Campazzo,PG,31,DAL,8,52,100%,,,,,10.7,10.6,2,0,1,0,0,1,23,0,1
80,Vlatko Čančar,PF,25,DEN,60,889,,,1%,90%,9%,-3.9,-9.3,16,12,47,6,22,7,193,7,9
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
81,Clint Capela,C,28,ATL,65,1730,,,,,100%,-0.5,-1.7,17,8,69,15,68,18,137,17,26
82,Vernon Carey Jr.,C,21,WAS,11,28,,,,,100%,-19.0,-17.8,1,0,5,0,1,0,7,0,1
83,Jevon Carter,PG,27,MIL,81,1810,99%,1%,,,,3.4,-0.3,44,18,75,1,10,6,492,2,16
84,Wendell Carter Jr.,C,23,ORL,57,1690,,,,6%,94%,-1.5,2.3,35,28,82,30,78,4,301,17,18
85,Michael Carter-Williams,PG,31,ORL,4,44,95%,5%,,,,-31.4,-28.9,3,0,4,1,4,0,16,1,2
86,Alex Caruso,PG,28,CHI,67,1575,61%,39%,,,,6.0,7.2,51,18,82,3,34,47,449,7,15
87,Julian Champagnie,SF,21,TOT,17,320,1%,16%,60%,24%,,-10.1,-0.3,4,5,19,1,9,1,24,5,5
87,Julian Champagnie,SF,21,PHI,2,7,,,5%,95%,,-23.6,-28.4,0,0,0,0,0,0,0,0,0
87,Julian Champagnie,SF,21,SAS,15,313,1%,16%,61%,22%,,-9.8,0.3,4,5,19,1,9,1,24,5,5
88,Justin Champagnie,SF,21,TOT,5,34,,29%,57%,13%,,-8.2,-13.1,0,0,1,0,0,1,9,0,2
88,Justin Champagnie,SF,21,TOR,3,11,,,59%,42%,,-10.0,-11.2,0,0,0,0,0,1,3,0,0
88,Justin Champagnie,SF,21,BOS,2,23,,43%,57%,,,-7.4,-14.1,0,0,1,0,0,0,6,0,2
89,Kennedy Chandler,PG,20,MEM,36,281,100%,,,,,-7.8,-12.3,7,8,6,0,6,2,128,2,11
90,Max Christie,SG,19,LAL,41,512,,26%,68%,6%,,-8.5,-10.4,8,1,26,1,7,1,50,0,6
91,Josh Christopher,SG,21,HOU,64,786,5%,81%,14%,,,-15.0,-8.3,28,22,35,6,28,2,173,7,20
92,Brandon Clarke,PF,26,MEM,56,1090,,,9%,82%,9%,0.3,-4.6,12,10,72,22,71,3,171,25,18
93,Jordan Clarkson,SG,30,UTA,61,1988,25%,68%,7%,,,0.2,2.6,97,49,52,11,99,6,662,25,52
94,Nic Claxton,C,23,BRK,76,2271,,,,,100%,5.2,9.1,21,21,105,31,119,14,350,35,29
95,Amir Coffey,SF,25,LAC,50,625,1%,7%,74%,18%,1%,-8.8,-11.3,11,7,32,2,29,7,127,5,16
96,John Collins,PF,25,ATL,71,2130,,,,92%,8%,-0.3,-1.6,24,28,149,18,90,20,214,21,45
97,Zach Collins,C,25,SAS,63,1441,,,,2%,99%,-8.1,3.1,54,23,118,40,59,13,411,16,35
98,Chance Comanche,C,26,POR,1,21,,,,64%,36%,-65.1,-61.7,0,0,0,0,0,0,0,0,0
99,Mike Conley,PG,35,TOT,67,2029,100%,,,,,0.8,2.2,76,19,75,3,61,43,1090,15,14
99,Mike Conley,PG,35,UTA,43,1276,100%,,,,,0.8,2.8,56,10,48,3,36,27,807,9,8
99,Mike Conley,PG,35,MIN,24,753,100%,,,,,0.7,1.1,20,9,27,0,25,16,283,6,6
100,Pat Connaughton,SF,30,MIL,61,1443,2%,35%,60%,3%,,4.9,2.0,20,6,51,6,18,9,184,5,14
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
101,Xavier Cooks,PF,27,WAS,10,126,,,9%,91%,,4.7,6.1,1,5,7,1,3,1,15,0,3
102,Robert Covington,PF,32,LAC,48,779,,,21%,73%,6%,-0.2,-1.1,23,3,56,1,18,5,137,2,9
103,Torrey Craig,PF,32,PHO,79,1948,,,20%,79%,1%,-3.2,-9.9,37,17,102,12,21,14,287,5,23
104,Jae Crowder,PF,32,MIL,18,340,,1%,41%,58%,,0.5,-3.4,1,2,16,4,5,2,64,1,2
105,Jarrett Culver,SF,23,ATL,10,137,,17%,37%,47%,,-6.3,-7.0,2,2,9,1,7,3,15,1,4
106,Cade Cunningham,PG,21,DET,12,400,73%,26%,1%,,,-7.5,1.1,21,11,16,5,18,2,176,3,23
107,Seth Curry,SG,32,BRK,61,1211,35%,49%,17%,,,-3.9,-7.4,24,9,33,7,17,12,244,8,14
108,Stephen Curry,PG,34,GSW,56,1941,100%,,,,,5.8,8.0,111,26,49,12,114,20,838,37,41
109,Dyson Daniels,PG,19,NOP,59,1042,17%,57%,26%,,,0.5,-2.3,38,10,58,6,13,6,314,6,10
110,Anthony Davis,C,29,LAL,56,1904,,,,,100%,4.7,7.8,39,42,85,25,198,5,355,49,58
111,Johnny Davis,SG,20,WAS,28,423,,52%,47%,1%,,-6.9,-6.2,5,8,24,2,14,2,67,4,9
112,Terence Davis,SG,25,SAC,64,841,3%,47%,48%,1%,,3.4,1.4,29,11,50,7,21,4,153,4,12
113,JD Davison,SG,20,BOS,12,66,26%,74%,,,,-4.6,-11.4,3,1,2,0,1,1,25,0,1
114,Darius Days,SF,23,HOU,4,25,,7%,93%,,,4.1,12.5,0,0,2,0,1,0,3,0,1
115,Dewayne Dedmon,C,33,TOT,38,426,,,,,100%,-10.3,-11.8,4,4,41,11,23,3,62,7,16
115,Dewayne Dedmon,C,33,MIA,30,350,,,,,100%,-9.9,-10.7,3,4,33,7,20,3,37,6,14
115,Dewayne Dedmon,C,33,PHI,8,76,,,,,100%,-11.9,-17.0,1,0,8,4,3,0,25,1,2
116,Matthew Dellavedova,PG,32,SAC,32,213,94%,6%,,,,-8.2,-11.1,7,1,7,2,2,7,98,1,1
117,DeMar DeRozan,SF,33,CHI,74,2682,,,68%,32%,,1.5,-0.5,74,45,104,14,270,32,923,78,62
118,Moussa Diabaté,C,21,LAC,22,195,,,3%,21%,76%,-9.6,-10.8,2,2,4,3,9,1,8,4,6
119,Mamadi Diakite,C,26,CLE,22,176,,,,17%,83%,0.6,-5.3,3,2,16,3,1,1,19,0,3
120,Hamidou Diallo,SF,24,DET,56,996,,26%,63%,11%,,-0.4,10.9,25,12,41,16,73,15,133,19,18
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
121,Gorgui Dieng,C,33,SAS,31,358,,,,19%,81%,-21.3,-12.4,17,4,37,3,5,6,126,1,5
122,Ousmane Dieng,PF,19,OKC,39,569,,,8%,71%,20%,3.9,3.2,10,8,26,2,12,0,107,3,8
