Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,Unnamed: 16_level_0,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,Unnamed: 23_level_0,% of FG Ast'd,% of FG Ast'd,Unnamed: 26_level_0,Dunks,Dunks,Unnamed: 29_level_0,Corner 3s,Corner 3s,Unnamed: 32_level_0,Heaves,Heaves
64,Marcus Camby,C,28,DEN,29,616,.410,8.7,,.978,.388,.181,.132,.278,.022,,.410,.557,.317,.433,.254,.400,,.681,.500,,.106,21,,.000,,,1,0
65,Elden Campbell,C,34,TOT,56,869,.397,8.8,,.997,.227,.325,.281,.163,.003,,.398,.522,.344,.337,.438,.000,,.684,,,.041,9,,1.000,.000,,0,0
65,Elden Campbell,C,34,NOH,41,685,.409,9.0,,.996,.231,.308,.283,.174,.004,,.411,.491,.408,.343,.419,.000,,.663,,,.040,7,,1.000,.000,,0,0
65,Elden Campbell,C,34,SEA,15,184,.333,7.8,,1.000,.208,.417,.271,.104,.000,,.333,.700,.100,.308,.600,,,.813,,,.042,2,,,,,0,0
66,Brian Cardinal,PF,25,WAS,5,15,.250,13.3,,.750,.250,.000,.500,.000,.250,,.333,1.000,,.000,,.000,,.000,,,.000,0,,.000,,,0,0
67,Anthony Carter,PG,27,MIA,49,912,.356,13.8,,.966,.232,.077,.142,.515,.034,,.369,.574,.333,.364,.283,.000,,.506,,,.013,3,,.000,,,4,0
68,Vince Carter*,SG,26,TOR,43,1471,.467,14.3,,.828,.187,.121,.150,.370,.172,,.493,.655,.489,.535,.395,.344,,.506,.822,,.058,43,,.183,.333,,0,0
69,Sam Cassell,PG,33,MIL,78,2700,.470,14.1,,.860,.131,.114,.352,.262,.140,,.487,.605,.496,.479,.436,.362,,.351,.847,,.000,0,,.227,.432,,3,0
70,Kelvin Cato,C,28,HOU,73,1247,.520,4.1,,.984,.648,.191,.109,.035,.016,,.528,.657,.286,.250,.333,.000,,.789,,,.352,79,,.000,,,2,0
71,Tyson Chandler,C,20,CHI,75,1827,.531,4.3,,1.000,.583,.215,.151,.052,.000,,.531,.649,.423,.370,.120,,,.685,,,.200,91,,,,,0,0
72,Calbert Cheaney,SG,31,UTA,81,2351,.499,12.4,,.962,.253,.101,.149,.458,.038,,.503,.655,.485,.433,.446,.400,,.787,1.000,,.017,10,,.800,.500,,0,0
73,Chris Childs,PG,35,NJN,12,106,.300,21.4,,.700,.100,.000,.150,.450,.300,,.357,.000,,.333,.444,.167,,.400,1.000,,.000,0,,.167,.000,,2,0
74,Doug Christie,SG,32,SAC,80,2710,.479,14.7,,.668,.305,.039,.047,.276,.332,,.522,.682,.409,.308,.396,.395,,.546,.890,,.097,53,,.276,.431,,2,0
75,Keon Clark,C,27,SAC,80,1780,.501,7.6,,.991,.399,.253,.155,.184,.009,,.506,.694,.377,.329,.422,.000,,.659,,,.162,73,,.000,,,4,0
76,Speedy Claxton,PG,24,SAS,30,471,.462,12.2,,.924,.269,.159,.110,.386,.076,,.500,.667,.261,.188,.571,.000,,.522,,,.014,2,,.273,.000,,1,0
77,Mateen Cleaves,PG,25,SAC,12,55,.261,11.3,,.957,.348,.043,.087,.478,.043,,.227,.250,.000,.000,.273,1.000,,.400,.000,,.000,0,,.000,,,0,0
78,Derrick Coleman,C,35,PHI,64,1742,.448,9.4,,.865,.378,.171,.197,.120,.135,,.466,.590,.388,.337,.400,.328,,.597,1.000,,.054,27,,.224,.400,,0,0
79,Bimbo Coles,PG,34,TOT,35,691,.333,16.6,,.810,.095,.077,.238,.399,.190,,.360,.438,.154,.300,.418,.219,,.571,.571,,.000,0,,.406,.231,,3,0
79,Bimbo Coles,PG,34,CLE,21,516,.286,16.3,,.790,.101,.109,.277,.303,.210,,.287,.333,.154,.242,.361,.280,,.778,.571,,.000,0,,.320,.375,,3,0
79,Bimbo Coles,PG,34,BOS,14,175,.449,17.4,,.857,.082,.000,.143,.633,.143,,.524,.750,,.571,.484,.000,,.318,,,.000,0,,.714,.000,,0,0
80,Jason Collier,C,25,HOU,13,104,.472,5.5,,1.000,.500,.333,.056,.111,.000,,.472,.667,.333,.000,.250,,,.824,,,.083,3,,,,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
81,Jarron Collins,C,24,UTA,22,421,.442,6.7,,.988,.500,.116,.233,.140,.012,,.447,.605,.100,.250,.500,.000,,.737,,,.023,1,,.000,,,0,0
82,Jason Collins,C,24,NJN,81,1900,.414,6.8,,.988,.503,.148,.163,.175,.012,,.419,.494,.260,.418,.339,.000,,.679,,,.044,13,,.500,.000,,1,0
83,Chris Crawford,PF,27,ATL,5,38,.615,13.8,,.769,.231,.077,.308,.154,.231,,.700,.667,1.000,.500,1.000,.333,,.714,1.000,,.000,0,,.000,,,0,0
84,Jamal Crawford,PG,22,CHI,80,1992,.413,15.6,,.700,.182,.129,.115,.275,.300,,.438,.551,.385,.419,.396,.355,,.250,.721,,.014,10,,.165,.325,,3,0
85,Austin Croshere,PF,27,IND,49,633,.411,15.1,,.670,.225,.077,.124,.244,.330,,.421,.617,.313,.269,.353,.391,,.610,.889,,.043,9,,.290,.300,,0,0
86,John Crotty,PG,33,DEN,12,180,.341,15.0,,.683,.244,.073,.098,.268,.317,,.357,.500,.000,.250,.364,.308,,.500,1.000,,.000,0,,.000,,,0,0
87,Eddy Curry,C,20,CHI,81,1571,.585,3.6,,1.000,.576,.314,.091,.019,.000,,.585,.673,.511,.346,.273,,,.776,,,.185,98,,,,,0,0
88,Michael Curry,SF,34,DET,78,1555,.402,15.6,,.764,.231,.026,.061,.445,.236,,.434,.547,.000,.429,.402,.296,,.868,1.000,,.074,14,,.370,.200,,0,0
89,Erick Dampier,C,27,GSW,82,1978,.496,3.9,,.996,.500,.402,.075,.019,.004,,.498,.659,.338,.333,.300,.000,,.405,,,.157,77,,.000,,,2,0
90,Antonio Daniels,SG,27,POR,67,872,.452,13.6,,.683,.285,.118,.108,.172,.317,,.520,.623,.636,.400,.344,.305,,.439,.778,,.070,13,,.220,.615,,2,0
91,Antonio Davis,C,34,TOR,53,1894,.407,9.2,,1.000,.317,.167,.303,.214,.000,,.407,.522,.374,.392,.285,,,.655,,,.094,50,,,,,0,0
92,Baron Davis,PG,23,NOH,50,1889,.416,14.1,,.645,.294,.079,.120,.152,.355,,.452,.553,.333,.365,.388,.350,,.352,.697,,.026,19,,.102,.414,,2,0
93,Dale Davis,C,33,POR,78,2282,.541,5.1,,1.000,.546,.167,.228,.059,.000,,.541,.690,.260,.400,.500,,,.654,,,.192,80,,,,,0,0
94,Emanual Davis,SG,34,ATL,24,340,.364,15.8,,.670,.205,.068,.102,.295,.330,,.424,.500,.167,.556,.385,.241,,.480,1.000,,.000,0,,.517,.333,,1,0
95,Hubert Davis,SG,32,DET,43,328,.392,20.1,,.544,.076,.025,.051,.392,.456,,.442,.500,1.000,.750,.355,.333,,.684,1.000,,.000,0,,.083,.333,,0,0
96,Ricky Davis,SG,23,CLE,79,3131,.410,13.7,,.861,.218,.080,.210,.353,.139,,.417,.642,.322,.341,.345,.363,,.515,.689,,.072,93,,.157,.313,,5,0
97,Andrew DeClercq,C,29,ORL,77,1327,.534,2.3,,1.000,.753,.161,.065,.022,.000,,.534,.595,.400,.222,.333,,,.725,,,.147,37,,,,,0,0
98,Tony Delk,PG,29,BOS,67,1873,.416,19.0,,.457,.116,.068,.073,.200,.543,,.441,.569,.263,.317,.473,.395,,.487,.775,,.000,0,,.280,.424,,2,0
99,Dan Dickau,PG,24,ATL,50,515,.412,15.0,,.641,.176,.188,.071,.206,.359,,.440,.533,.313,.250,.543,.361,,.208,.864,,.000,0,,.361,.318,,0,0
100,Michael Dickerson,SG,27,MEM,6,87,.417,15.5,,.542,.292,.042,.042,.167,.458,,.462,.571,.000,1.000,.250,.364,,.333,1.000,,.000,0,,.182,.500,,0,0
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#
101,DeSagana Diop,PF,21,CLE,80,943,.351,7.7,,1.000,.357,.227,.247,.156,.000,,.351,.473,.229,.289,.375,,,.519,,,.071,9,,,,,0,0
102,Vlade Divac*,C,34,SAC,80,2384,.466,8.1,,.962,.380,.282,.092,.208,.038,,.475,.683,.335,.283,.368,.240,,.625,1.000,,.047,29,,.360,.222,,3,0
103,Juan Dixon,PG,24,WAS,42,647,.384,16.3,,.690,.129,.118,.137,.306,.310,,.422,.629,.313,.351,.410,.298,,.443,.800,,.000,0,,.214,.222,,0,0
104,Michael Doleac,C,25,NYK,75,1041,.426,12.3,,1.000,.178,.146,.268,.408,.000,,.426,.508,.280,.543,.364,,,.890,,,.009,3,,,,,0,0
105,Keyon Dooling,SG,22,LAC,55,969,.389,17.1,,.578,.170,.076,.073,.258,.422,,.411,.500,.280,.292,.424,.360,,.256,.760,,.018,5,,.165,.391,,0,0
106,Bryce Drew,PG,28,NOH,13,79,.296,16.6,,.741,.074,.074,.259,.333,.259,,.250,.000,1.000,.143,.222,.429,,.600,.333,,.000,0,,.000,,,0,0
107,Predrag Drobnjak,C,27,SEA,82,1984,.412,12.7,,.892,.202,.176,.150,.365,.108,,.419,.528,.360,.508,.351,.353,,.773,1.000,,.024,19,,.247,.333,,0,0
108,Chris Dudley,C,37,POR,3,11,.000,0.0,,1.000,1.000,.000,.000,.000,.000,,.000,.000,,,,,,,,,.000,0,,,,,0,0
109,Tim Duncan*,PF,26,SAS,81,3181,.513,7.8,,.984,.295,.369,.225,.096,.016,,.517,.678,.476,.425,.396,.273,,.475,.667,,.089,111,,.045,1.000,,3,0
110,Mike Dunleavy,SF,22,GSW,82,1305,.403,14.3,,.640,.264,.113,.082,.182,.360,,.434,.609,.234,.235,.395,.347,,.603,.962,,.012,5,,.247,.297,,1,0
111,Howard Eisley,PG,30,NYK,82,2243,.417,18.6,,.463,.143,.062,.064,.194,.537,,.450,.578,.410,.400,.385,.389,,.153,.725,,.000,0,,.163,.418,,3,0
112,LaPhonso Ellis,PF,32,MIA,55,784,.382,16.3,,.592,.172,.107,.115,.198,.408,,.471,.622,.500,.400,.365,.252,,.658,1.000,,.027,6,,.271,.207,,1,0
113,Melvin Ely,C,24,LAC,52,802,.495,4.7,,1.000,.468,.376,.124,.032,.000,,.495,.609,.429,.348,.167,,,.478,,,.156,26,,,,,0,0
114,Evan Eschmeyer,C,27,DAL,17,135,.368,4.9,,1.000,.579,.211,.105,.105,.000,,.368,.364,.500,.000,.500,,,1.000,,,.158,2,,,,,0,0
115,Reggie Evans,PF,22,SEA,67,1365,.471,3.9,,1.000,.629,.200,.086,.086,.000,,.471,.580,.143,.583,.333,,,.455,,,.079,9,,,,,0,0
116,Danny Ferry,SF,36,SAS,64,601,.355,19.5,,.516,.032,.048,.145,.290,.484,,.359,.750,.333,.389,.306,.350,,.696,1.000,,.000,0,,.483,.345,,0,0
117,Michael Finley,SF,29,DAL,69,2642,.425,14.9,,.730,.189,.112,.146,.283,.270,,.445,.596,.366,.425,.388,.370,,.461,.950,,.031,35,,.307,.374,,3,0
118,Derek Fisher,PG,28,LAL,82,2829,.437,17.2,,.726,.128,.044,.112,.443,.274,,.451,.505,.471,.425,.440,.401,,.634,.976,,.004,2,,.443,.447,,1,0
