Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
234,De'Andre Hunter,SF,26,ATL,57,37,1681,8.7,18.9,.459,3.3,8.7,.385,5.3,10.2,.521,4.7,5.6,.847,0.9,5.4,6.3,2.5,1.1,0.5,2.4,4.2,25.4,,115,121
235,Matthew Hurt,PF,23,MEM,8,0,113,5.2,14.7,.353,2.2,8.7,.250,3.0,6.1,.500,1.3,1.3,1.000,3.9,3.0,6.9,1.7,1.3,1.3,0.9,3.5,13.8,,104,117
236,Bones Hyland,PG,23,LAC,37,5,540,8.9,22.9,.386,4.0,12.3,.326,4.8,10.6,.457,1.6,2.1,.783,0.5,4.6,5.0,8.5,2.4,0.4,4.0,4.7,23.4,,100,116
237,Joe Ingles,SF,36,ORL,68,0,1169,4.2,9.6,.436,3.0,6.8,.435,1.2,2.8,.439,1.2,1.4,.824,0.8,5.3,6.0,8.6,1.8,0.2,2.8,3.7,12.5,,119,113
238,Brandon Ingram,SF,26,NOP,64,64,2103,11.7,23.7,.492,2.0,5.6,.355,9.7,18.1,.534,5.7,7.2,.801,1.0,6.6,7.6,8.5,1.2,0.9,3.8,3.4,31.1,,115,114
239,Kyrie Irving,SG,31,DAL,58,58,2030,13.3,26.7,.497,4.1,9.9,.411,9.2,16.8,.548,4.5,5.0,.905,1.0,5.8,6.9,7.1,1.7,0.7,2.5,2.6,35.1,,122,116
240,Jonathan Isaac,PF,26,ORL,58,2,914,7.9,15.5,.510,2.3,6.1,.375,5.6,9.4,.598,3.2,4.4,.720,4.0,10.1,14.1,1.6,2.3,3.8,1.5,3.5,21.3,,124,105
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
241,Jaden Ivey,SG,21,DET,77,61,2217,9.0,21.1,.429,2.7,8.0,.336,6.4,13.1,.485,4.9,6.6,.749,1.9,3.9,5.7,6.4,1.2,0.9,4.1,4.4,25.7,,104,121
242,Andre Jackson Jr.,SG,22,MIL,57,8,572,4.2,8.4,.500,1.4,3.9,.370,2.8,4.5,.611,0.7,0.9,.727,3.6,5.9,9.5,4.2,1.3,0.5,2.4,7.7,10.5,,119,117
243,GG Jackson II,PF,19,MEM,48,18,1233,9.6,22.3,.428,4.0,11.3,.357,5.5,11.0,.502,4.6,6.1,.752,2.1,5.7,7.8,2.3,1.1,1.0,2.6,2.5,27.7,,107,117
244,Isaiah Jackson,C,22,IND,59,3,771,9.5,14.3,.665,0.0,0.2,.000,9.5,14.0,.677,4.5,6.2,.716,5.8,8.8,14.6,3.1,2.1,3.7,2.4,8.4,23.4,,135,112
245,Jaren Jackson Jr.,C,24,MEM,66,66,2124,11.9,26.7,.444,2.7,8.4,.320,9.2,18.3,.501,7.8,9.6,.808,2.0,6.4,8.4,3.5,1.8,2.4,3.7,5.4,34.2,,107,113
246,Justin Jackson,SF,28,MIN,2,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,119
247,Quenton Jackson,PG,25,IND,3,0,11,0.0,4.3,.000,0.0,0.0,,0.0,4.3,.000,8.6,8.6,1.000,0.0,17.2,17.2,8.6,4.3,0.0,0.0,4.3,8.6,,152,107
248,Reggie Jackson,PG,33,DEN,82,23,1817,8.9,20.6,.431,2.8,7.7,.359,6.1,12.9,.475,2.2,2.7,.806,0.9,3.3,4.2,8.4,1.2,0.4,2.9,4.1,22.7,,109,117
249,Trayce Jackson-Davis,PF,23,GSW,68,16,1130,10.0,14.2,.702,0.0,0.0,.000,10.0,14.2,.704,3.2,5.7,.561,5.8,8.8,14.6,3.5,1.2,3.3,2.1,4.6,23.1,,136,112
250,LeBron James,PF,39,LAL,71,71,2504,13.0,24.1,.540,2.8,6.9,.410,10.2,17.2,.592,5.8,7.7,.750,1.2,8.7,9.8,11.2,1.7,0.7,4.7,1.5,34.6,,120,114
251,Jaime Jaquez Jr.,SF,22,MIA,75,20,2113,8.1,16.5,.489,1.5,4.8,.322,6.5,11.7,.558,3.4,4.1,.811,1.9,4.8,6.7,4.6,1.8,0.5,2.6,3.9,21.0,,112,113
252,DeJon Jarreau,SG,26,MEM,9,0,150,5.5,16.3,.340,1.3,4.2,.308,4.2,12.1,.351,1.6,3.6,.455,2.6,11.7,14.3,8.5,2.0,0.7,2.9,4.6,14.0,,93,111
253,DaQuan Jeffries,SG,26,NYK,17,0,46,6.6,18.6,.353,2.2,11.0,.200,4.4,7.7,.571,0.0,2.2,.000,0.0,5.5,5.5,5.5,0.0,1.1,3.3,2.2,15.3,,82,118
254,Trey Jemison,C,24,TOT,25,14,573,6.4,11.6,.551,0.0,0.0,,6.4,11.6,.551,1.8,2.1,.840,5.5,6.0,11.4,2.3,1.0,2.4,2.9,5.9,14.6,,111,115
254,Trey Jemison,C,24,WAS,2,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,46.8,46.8,0.0,0.0,0.0,46.8,0.0,0.0,,0,99
254,Trey Jemison,C,24,MEM,23,14,572,6.4,11.6,.551,0.0,0.0,,6.4,11.6,.551,1.8,2.1,.840,5.5,5.9,11.4,2.3,1.0,2.4,2.8,5.9,14.6,,112,115
255,Ty Jerome,SG,26,CLE,2,0,15,6.6,13.2,.500,0.0,3.3,.000,6.6,9.9,.667,0.0,0.0,,3.3,0.0,3.3,9.9,0.0,0.0,3.3,6.6,13.2,,111,121
256,Isaiah Joe,SG,24,OKC,78,1,1445,7.4,16.1,.458,4.9,11.7,.416,2.5,4.4,.568,1.5,1.7,.865,1.1,4.9,6.0,3.3,1.5,0.7,1.6,2.9,21.2,,121,115
257,Cameron Johnson,PF,27,BRK,58,47,1599,8.5,19.2,.446,4.3,10.9,.391,4.3,8.2,.519,2.7,3.4,.789,1.7,6.1,7.8,4.3,1.5,0.5,1.8,3.3,24.0,,118,117
258,Jalen Johnson,SF,22,ATL,56,52,1889,9.1,17.8,.511,1.8,5.1,.355,7.3,12.7,.574,2.7,3.7,.728,1.9,10.5,12.4,5.2,1.7,1.2,2.6,3.4,22.7,,117,116
259,James Johnson,PF,36,IND,9,0,47,3.0,10.0,.300,0.0,2.0,.000,3.0,8.0,.375,2.0,2.0,1.000,1.0,3.0,4.0,8.0,5.0,1.0,5.0,9.0,8.0,,79,112
260,Keldon Johnson,SF,24,SAS,69,27,2038,9.1,20.1,.454,3.0,8.5,.346,6.1,11.5,.533,4.1,5.1,.792,2.2,6.6,8.8,4.5,1.2,0.5,2.3,3.5,25.2,,112,118
Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
261,Keon Johnson,SG,21,BRK,5,0,61,6.5,17.0,.381,3.2,8.1,.400,3.2,8.9,.364,8.9,9.7,.917,2.4,3.2,5.7,2.4,2.4,0.8,4.1,4.1,25.2,,110,116
